Date,Price,Open,High,Low,Vol,Change %
Jun 28 2019,"2,633.32","2,633.32","2,633.32","2,633.32",0
Jun 27 2019,"2,650.57","2,650.57","2,650.57","2,650.57",0
Jun 26 2019,"2,647.58","2,647.58","2,647.58","2,647.58",0
Jun 25 2019,"2,649.11","2,649.11","2,649.11","2,649.11",0
Jun 24 2019,"2,639.22","2,639.22","2,639.22","2,639.22",0
Jun 21 2019,"2,647.28","2,647.28","2,647.28","2,647.28",0
Jun 20 2019,"2,650.69","2,650.69","2,650.69","2,650.69",0
Jun 19 2019,"2,658.91","2,658.91","2,658.91","2,658.91",0
Jun 18 2019,"2,670.17","2,670.17","2,670.17","2,670.17",0
Jun 17 2019,"2,685.70","2,685.70","2,685.70","2,685.70",0
Jun 14 2019,"2,706.78","2,706.78","2,706.78","2,706.78",0
Jun 13 2019,"2,720.97","2,720.97","2,720.97","2,720.97",0
Jun 12 2019,"2,700.35","2,700.35","2,700.35","2,700.35",0
Jun 11 2019,"2,683.67","2,683.67","2,683.67","2,683.67",0
Jun 10 2019,"2,691.46","2,691.46","2,691.46","2,691.46",0
Jun 07 2019,"2,700.46","2,700.46","2,700.46","2,700.46",0
Jun 06 2019,"2,710.23","2,710.23","2,710.23","2,710.23",0
Jun 04 2019,"2,703.33","2,703.33","2,703.33","2,703.33",0
Jun 03 2019,"2,678.52","2,678.52","2,678.52","2,678.52",0
May 31 2019,"2,676.92","2,676.92","2,676.92","2,676.92",0
May 30 2019,"2,659.56","2,659.56","2,659.56","2,659.56",0
May 29 2019,"2,670.54","2,670.54","2,670.54","2,670.54",0
May 28 2019,"2,650.30","2,650.30","2,650.30","2,650.30",0
May 27 2019,"2,648.27","2,648.27","2,648.27","2,648.27",0
May 24 2019,"2,646.74","2,646.74","2,646.74","2,646.74",0
May 23 2019,"2,641.02","2,641.02","2,641.02","2,641.02",0
May 22 2019,"2,640.48","2,640.48","2,640.48","2,640.48",0
May 21 2019,"2,644.90","2,644.90","2,644.90","2,644.90",0
May 20 2019,"2,636.47","2,636.47","2,636.47","2,636.47",0
May 17 2019,"2,665.52","2,665.52","2,665.52","2,665.52",0
